iter	RMSE
0	15.35670561
1	15.08327987
2	14.81813956
3	14.59090443
4	14.34852954
5	14.15135332
6	13.94896921
7	13.75700228
8	13.55689683
9	13.33059127
10	13.10116409
11	12.89750468
12	12.7111734
13	12.55556972
14	12.34652496
15	12.17713086
16	11.99420152
17	11.82009777
18	11.61156333
19	11.43370813
20	11.2875132
21	11.12205983
22	10.94059124
23	10.78925878
24	10.64897026
25	10.51356182
26	10.36471724
27	10.22657297
28	10.10829278
29	9.975809603
30	9.86586911
31	9.732113146
32	9.581513831
33	9.452254655
34	9.356339326
35	9.260145308
36	9.144535288
37	9.035615125
38	8.910189618
39	8.796767807
40	8.700434042
41	8.608482938
42	8.529869235
43	8.454433873
44	8.364366521
45	8.283511884
46	8.185940147
47	8.089597523
48	7.997256515
49	7.928065644
50	7.85263155
51	7.785325038
52	7.719933353
53	7.64830668
54	7.588270607
55	7.508131118
56	7.430589638
57	7.341870838
58	7.275084446
59	7.218599252
60	7.156641281
61	7.096548985
62	7.028691808
63	6.985692854
64	6.917989539
65	6.870519729
66	6.809742092
67	6.75329776
68	6.697228062
69	6.630463241
70	6.573930137
71	6.525241214
72	6.469021982
73	6.416947881
74	6.36709257
75	6.324410974
76	6.287510703
77	6.249434962
78	6.210946339
79	6.162936635
80	6.125768277
81	6.087258832
82	6.056520405
83	6.018609603
84	5.984821126
85	5.956798228
86	5.91927344
87	5.880869917
88	5.847709454
89	5.812250578
90	5.785205116
91	5.746335584
92	5.716529001
93	5.678679493
94	5.648702853
95	5.616249679
96	5.603203071
97	5.583610638
98	5.559777146
99	5.533364561
100	5.512949256
101	5.488012311
102	5.456239471
103	5.422907999
104	5.401027626
105	5.367964522
106	5.341812094
107	5.316363173
108	5.293432922
109	5.26650647
110	5.249426253
111	5.227016905
112	5.217242456
113	5.192341809
114	5.171863825
115	5.152161695
116	5.142698686
117	5.13023248
118	5.111262671
119	5.093275955
120	5.08151589
121	5.065341253
122	5.049068626
123	5.031734382
124	5.010897062
125	4.988534632
126	4.97738425
127	4.957526214
128	4.935427898
129	4.920362212
130	4.901136291
131	4.882668175
132	4.862148312
133	4.846477603
134	4.82889884
135	4.815746069
136	4.799010065
137	4.785312239
138	4.775185434
139	4.755885229
140	4.75083913
141	4.732608119
142	4.721227694
143	4.700316406
144	4.684586397
145	4.669961746
146	4.660066898
147	4.649139967
148	4.638053491
149	4.624074322
150	4.611630738
151	4.594266209
152	4.579725229
153	4.561400584
154	4.546272335
155	4.530964058
156	4.515862706
157	4.500897796
158	4.488099034
159	4.473628
160	4.464784526
161	4.456654364
162	4.450961533
163	4.438746216
164	4.427829524
165	4.411604903
166	4.408159163
167	4.396836662
168	4.378337443
169	4.372117803
170	4.360553333
171	4.34414714
172	4.333434119
173	4.323151329
174	4.315378403
175	4.295204329
176	4.287165466
177	4.274999274
178	4.259051556
179	4.250976506
180	4.245120197
181	4.229941589
182	4.218572899
183	4.207731798
184	4.198680231
185	4.188168895
186	4.179430367
187	4.168894247
188	4.160675663
189	4.153847315
190	4.146493548
191	4.138695166
192	4.130802383
193	4.125469518
194	4.113021186
195	4.105052084
196	4.093945972
197	4.090981352
198	4.087027376
199	4.083337507
200	4.077211366
201	4.067391275
202	4.058368194
203	4.04954962
204	4.038508775
205	4.028656049
206	4.02161067
207	4.009468679
208	4.001526825
209	3.994817282
210	3.987896534
211	3.979729327
212	3.972718089
213	3.964114333
214	3.957260802
215	3.949072326
216	3.945383896
217	3.941183639
218	3.932258526
219	3.930155193
220	3.923651612
221	3.918810425
222	3.911937034
223	3.906164825
224	3.902192071
225	3.898153377
226	3.888539585
227	3.882401187
228	3.875186246
229	3.870281743
230	3.858687673
231	3.855567957
232	3.848855684
233	3.843511344
234	3.837114575
235	3.8326758
236	3.821848927
237	3.819339612
238	3.814690177
239	3.809075526
240	3.801700986
241	3.791367792
242	3.789205463
243	3.78310994
244	3.774648724
245	3.769327033
246	3.760745118
247	3.753518112
248	3.74071634
249	3.73835154
250	3.732463047
251	3.728495876
252	3.721319247
253	3.710284173
254	3.708792795
255	3.705406238
256	3.698088709
257	3.691650119
258	3.6900705
259	3.684694071
260	3.675910091
261	3.664196859
262	3.662564196
263	3.652441689
264	3.650579436
265	3.635029509
266	3.629112232
267	3.621941167
268	3.614940535
269	3.604700746
270	3.601304604
271	3.599372812
272	3.585968719
273	3.577143104
274	3.57417422
275	3.573008595
276	3.570822699
277	3.560315284
278	3.556241913
279	3.554129199
280	3.551687425
281	3.548618851
282	3.533744486
283	3.52994725
284	3.520091365
285	3.511080579
286	3.507084681
287	3.496115146
288	3.492655435
289	3.490490903
290	3.485835958
291	3.481701862
292	3.472355753
293	3.470555287
294	3.467702803
295	3.455728322
296	3.453884718
297	3.448882643
298	3.439333708
299	3.429954196
300	3.427520885
301	3.418745649
302	3.416737854
303	3.411334342
304	3.404162384
305	3.395410496
306	3.391493303
307	3.388979618
308	3.385274465
309	3.373362848
310	3.367970095
311	3.35774864
312	3.354573873
313	3.344498501
314	3.341555369
315	3.338764423
316	3.333090884
317	3.326551509
318	3.321955249
319	3.316421659
320	3.314220545
321	3.311805681
322	3.307934934
323	3.305630677
324	3.303081611
325	3.300091683
326	3.290831349
327	3.289162907
328	3.283600201
329	3.280841632
330	3.274032564
331	3.26798453
332	3.265424343
333	3.259636225
334	3.249755189
335	3.244470109
336	3.233795815
337	3.231269262
338	3.229347267
339	3.226946563
340	3.225574644
341	3.222552028
342	3.21274281
343	3.209295964
344	3.201628688
345	3.192729056
346	3.185281467
347	3.176351846
348	3.166336115
349	3.159596534
350	3.154507301
351	3.147783298
352	3.137383762
353	3.135306707
354	3.12825917
355	3.122127913
356	3.120263864
357	3.110672475
358	3.108605484
359	3.10632319
360	3.104685549
361	3.095880084
362	3.085874069
363	3.077158088
364	3.073712736
365	3.071472154
366	3.068666768
367	3.066587793
368	3.064723344
369	3.056961753
370	3.055290666
371	3.045707384
372	3.043576088
373	3.04193214
374	3.039073054
375	3.036958067
376	3.032422208
377	3.023076249
378	3.013859181
379	3.010593249
380	3.007494548
381	2.998884358
382	2.996055435
383	2.991646044
384	2.989643652
385	2.987901035
386	2.982264569
387	2.976595782
388	2.970573022
389	2.963591683
390	2.961598558
391	2.95644329
392	2.955567918
393	2.952861304
394	2.950832402
395	2.940484545
396	2.938946599
397	2.934594415
398	2.93300886
399	2.924193727
400	2.916211278
401	2.914529349
402	2.908744096
403	2.90139791
404	2.89445941
405	2.891672939
406	2.883854273
407	2.875157376
408	2.873307563
409	2.864137719
410	2.85674141
411	2.853644804
412	2.847663797
413	2.84644879
414	2.844713017
415	2.838607777
416	2.832275571
417	2.830750922
418	2.829202625
419	2.826999826
420	2.823587799
421	2.8215314
422	2.820518548
423	2.814135911
424	2.809003746
425	2.802292674
426	2.798475125
427	2.797183728
428	2.79392911
429	2.786823817
430	2.779148246
431	2.776549281
432	2.775588334
433	2.771779812
434	2.766402663
435	2.760528523
436	2.758349508
437	2.755213764
438	2.751094061
439	2.74981445
440	2.744157977
441	2.741504652
442	2.736456558
443	2.734708605
444	2.733670068
445	2.727423743
446	2.721422996
447	2.719890824
448	2.716269824
449	2.710702319
450	2.708504081
451	2.707014958
452	2.702068267
453	2.699231123
454	2.694182674
455	2.692894318
456	2.691791579
457	2.683911185
458	2.675617664
459	2.670442903
460	2.662097333
461	2.659977167
462	2.656532176
463	2.648719596
464	2.641157977
465	2.639442937
