iter	Passed	Remaining
0	1	137
1	2	139
2	4	138
3	5	139
4	7	133
5	8	128
6	9	127
7	10	124
8	12	122
9	13	121
10	14	120
11	16	118
12	17	116
13	18	115
14	20	114
15	21	112
16	22	111
17	24	110
18	25	109
19	27	108
20	71	267
21	72	257
22	73	247
23	75	239
24	77	231
25	78	224
26	80	217
27	81	210
28	83	203
29	86	202
30	87	195
31	89	189
32	90	183
33	91	178
34	102	190
35	103	184
36	105	178
37	107	176
38	110	172
39	112	168
40	128	185
41	130	179
42	131	174
43	132	168
44	133	163
45	135	158
46	136	153
47	137	149
48	138	144
49	140	140
50	164	157
51	165	152
52	166	147
53	167	143
54	171	140
55	173	136
56	175	132
57	176	127
58	177	123
59	178	119
60	180	115
61	181	111
62	183	107
63	184	103
64	226	121
65	228	117
66	237	117
67	246	115
68	247	111
69	248	106
70	249	102
71	251	97
72	252	93
73	253	89
74	255	85
75	256	80
76	258	77
77	260	73
78	262	69
79	267	66
80	269	63
81	271	59
82	284	58
83	286	54
84	288	50
85	291	47
86	293	43
87	295	40
88	297	36
89	299	33
90	301	29
91	302	26
92	303	22
93	305	19
94	306	16
95	308	12
96	309	9
97	310	6
98	312	3
99	316	0
